code,group_en,months,mean_monthly_change,sd_monthly_change,max_monthly_change
011613,Dates,39,35.56157387,188.24625144,1080.32786885
04522,Liquefied hydrocarbons,39,49.87298086,181.13116095,925.22542831
0452,Gas,39,49.87298086,181.13116095,925.22542831
01133,Fish preparations,39,20.80737273,148.20639145,885.76644882
011331,"Tunas, skipjack or stripe-bellied bonito, prepared or preserved",39,20.80737273,148.20639145,885.76644882
011631,Apples,39,29.47829859,140.48762093,742.10526316
011770.4,Dry garlic,39,36.87561983,139.76871439,608.62068965
011931,Salt,39,28.51588634,135.94231213,680.00000000
011659,"Other fruits, fresh",39,28.14021904,128.76610567,575.00000000
011645,Strawberries,39,21.96249351,115.03495680,636.61687608
01164,"Berries, fresh",39,21.96249351,115.03495680,636.61687608
011224.1,Fresh chicken,39,19.69745245,110.90436481,637.70491803
011224,"Meat of poultry, fresh, chilled or frozen",39,19.15156588,109.96577946,637.70491803
011224.2,Fresh turkey,39,16.61751840,106.39015495,637.70491803
011742,Garlic,39,17.86258030,105.74902577,605.88235294
011770.3,Dry onion,39,27.52755664,95.63428431,309.45083637
0117.3,Dried vegetables,39,27.16550403,95.56293117,330.02882372
01177,"Other vegetables, tubers, plantains and cooking bananas, dried and dehydrated",39,27.16550403,95.56293117,330.02882372
011770,"Other vegetables, tubers, plantains and cooking bananas, dried and dehydrate",39,27.16550403,95.56293117,330.02882372
01161,"Dates, figs and tropical fruit, fresh",39,21.82938667,92.91295868,407.30382540
011131.1,Bread - kmaj,39,22.85571204,86.89436871,370.10869565
011612,Bananas,39,20.38210178,85.43799377,343.44262295
01182,Other sugar and sugar substitutes,39,26.12009920,85.29864433,283.04093567
01175,"Tubers, plantains and cooking bananas",39,18.26688545,79.23383876,344.68864469
011751,Potatoes,39,18.26688545,79.23383876,344.68864469
0117.5,Potatoes and other tubers,39,18.26688545,79.23383876,344.68864469
02301.2,Imported cigarettes,39,28.14294798,76.25037391,287.38653304
023,TOBACCO,39,27.20546059,74.90739246,282.77493998
02,"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS",39,27.20546059,74.90739246,282.77493998
011741,Carrots and turnips,39,14.96495892,73.69966710,392.30769231
01148,Eggs,39,20.13967078,73.47728177,315.38461539
011481,"Eggs of hen and other birds in shell, fresh",39,20.13967078,73.47728177,315.38461539
