code,group_en,months,min_index,max_index,mean_monthly_change,sd_monthly_change,unchanged_months,spikes_10pct
01,Food and Non-Alcoholic Beverages,39,103.22457705,1468.46791466,5.87937544,31.41992228,0,11
02,"Alcholoic Beverages, Tobacco and Narcotics",39,111.01849919,8549.87545870,27.20546059,74.90739246,1,16
03,Clothing and Footwear,39,97.03996597,208.91637220,2.25281254,13.50689520,4,3
04,"Housing, Water, Electricity, Gas and Other Fuels",39,106.41926922,1405.67714991,10.73259947,48.14504471,0,8
05,"Furnishings, Household Equipment and Routine Houshold Maintenance",39,100.00206756,196.81596868,0.78238347,10.67599596,1,5
06,Health,39,87.66175465,183.88192326,2.00059466,3.02134607,16,0
07,Transport,39,99.13461709,755.23086193,4.62903816,25.62239783,0,10
08,Information and Communication,39,99.78153947,102.40615802,-0.03596001,0.46222423,25,0
09,"Recreation, Sport, Culture, Gardens and Pets",39,117.04530121,132.20399840,0.30056017,1.51512493,27,0
0999,All items of consumer price index,39,102.88041322,824.69732925,5.54098763,24.36315205,0,14
10,Education Services,39,97.68701780,102.39594994,0.12510857,0.48766240,35,0
11,Resturants and Accomodation Services,39,100.43552523,108.57964785,0.18705829,0.95424923,26,0
12,Insurance and Financial Services,39,98.52503875,102.86719594,-0.06446818,0.37713553,0,0
12+13,Miscellaneous Goods and Services (12+13),39,104.90795767,178.97840975,0.48461184,6.00672878,0,2
13,"Personal Care, Social Protection and Miscellaneous Goods and Services",39,106.93594065,220.22176558,0.78622098,7.97686437,0,2
