date,code,group_en,pct_change
2026-02-01,02,"Alcholoic Beverages, Tobacco and Narcotics",282.774939984
2024-02-01,02,"Alcholoic Beverages, Tobacco and Narcotics",227.847455998
2025-03-01,04,"Housing, Water, Electricity, Gas and Other Fuels",207.489928275
2025-04-01,02,"Alcholoic Beverages, Tobacco and Narcotics",143.260569614
2023-11-01,02,"Alcholoic Beverages, Tobacco and Narcotics",125.893814078
2023-10-01,07,Transport,114.097917753
2024-03-01,02,"Alcholoic Beverages, Tobacco and Narcotics",112.379793952
2025-04-01,04,"Housing, Water, Electricity, Gas and Other Fuels",110.823996967
2025-05-01,02,"Alcholoic Beverages, Tobacco and Narcotics",96.1311110007
2024-05-01,02,"Alcholoic Beverages, Tobacco and Narcotics",96.064070637
2025-06-01,01,Food and Non-Alcoholic Beverages,91.1364917897
2024-05-01,04,"Housing, Water, Electricity, Gas and Other Fuels",86.6755791156
2023-11-01,04,"Housing, Water, Electricity, Gas and Other Fuels",85.366606563
2024-11-01,02,"Alcholoic Beverages, Tobacco and Narcotics",79.4408833892
2025-03-01,02,"Alcholoic Beverages, Tobacco and Narcotics",77.7810106109
