dimension,value,model,n,actual_spikes,predicted_spikes,accuracy,precision,recall,f1,tn,fp,fn,tp
code,01,Logistic Regression,12,4,12,0.33333333,0.33333333,1.00000000,0.50000000,0,8,0,4
code,02,Logistic Regression,12,8,12,0.66666667,0.66666667,1.00000000,0.80000000,0,4,0,8
code,03,Logistic Regression,12,2,0,0.83333333,0.00000000,0.00000000,0.00000000,10,0,2,0
code,04,Logistic Regression,12,3,11,0.33333333,0.27272727,1.00000000,0.42857143,1,8,0,3
code,05,Logistic Regression,12,2,12,0.16666667,0.16666667,1.00000000,0.28571429,0,10,0,2
code,06,Logistic Regression,12,0,0,1.00000000,0.00000000,0.00000000,0.00000000,12,0,0,0
code,07,Logistic Regression,12,4,12,0.33333333,0.33333333,1.00000000,0.50000000,0,8,0,4
code,08,Logistic Regression,12,0,0,1.00000000,0.00000000,0.00000000,0.00000000,12,0,0,0
code,09,Logistic Regression,12,0,0,1.00000000,0.00000000,0.00000000,0.00000000,12,0,0,0
code,10,Logistic Regression,12,0,0,1.00000000,0.00000000,0.00000000,0.00000000,12,0,0,0
code,11,Logistic Regression,12,0,0,1.00000000,0.00000000,0.00000000,0.00000000,12,0,0,0
code,12,Logistic Regression,12,0,0,1.00000000,0.00000000,0.00000000,0.00000000,12,0,0,0
code,13,Logistic Regression,12,2,0,0.83333333,0.00000000,0.00000000,0.00000000,10,0,2,0
code,01,No spike,12,4,0,0.66666667,0.00000000,0.00000000,0.00000000,8,0,4,0
code,02,No spike,12,8,0,0.33333333,0.00000000,0.00000000,0.00000000,4,0,8,0
code,03,No spike,12,2,0,0.83333333,0.00000000,0.00000000,0.00000000,10,0,2,0
code,04,No spike,12,3,0,0.75000000,0.00000000,0.00000000,0.00000000,9,0,3,0
code,05,No spike,12,2,0,0.83333333,0.00000000,0.00000000,0.00000000,10,0,2,0
code,06,No spike,12,0,0,1.00000000,0.00000000,0.00000000,0.00000000,12,0,0,0
code,07,No spike,12,4,0,0.66666667,0.00000000,0.00000000,0.00000000,8,0,4,0
code,08,No spike,12,0,0,1.00000000,0.00000000,0.00000000,0.00000000,12,0,0,0
code,09,No spike,12,0,0,1.00000000,0.00000000,0.00000000,0.00000000,12,0,0,0
code,10,No spike,12,0,0,1.00000000,0.00000000,0.00000000,0.00000000,12,0,0,0
code,11,No spike,12,0,0,1.00000000,0.00000000,0.00000000,0.00000000,12,0,0,0
code,12,No spike,12,0,0,1.00000000,0.00000000,0.00000000,0.00000000,12,0,0,0
code,13,No spike,12,2,0,0.83333333,0.00000000,0.00000000,0.00000000,10,0,2,0
code,01,Persistence,12,4,4,0.83333333,0.75000000,0.75000000,0.75000000,7,1,1,3
code,02,Persistence,12,8,7,0.58333333,0.71428571,0.62500000,0.66666667,2,2,3,5
code,03,Persistence,12,2,2,0.83333333,0.50000000,0.50000000,0.50000000,9,1,1,1
code,04,Persistence,12,3,3,0.66666667,0.33333333,0.33333333,0.33333333,7,2,2,1
code,05,Persistence,12,2,2,0.66666667,0.00000000,0.00000000,0.00000000,8,2,2,0
code,06,Persistence,12,0,0,1.00000000,0.00000000,0.00000000,0.00000000,12,0,0,0
code,07,Persistence,12,4,5,0.58333333,0.40000000,0.50000000,0.44444444,5,3,2,2
code,08,Persistence,12,0,0,1.00000000,0.00000000,0.00000000,0.00000000,12,0,0,0
code,09,Persistence,12,0,0,1.00000000,0.00000000,0.00000000,0.00000000,12,0,0,0
code,10,Persistence,12,0,0,1.00000000,0.00000000,0.00000000,0.00000000,12,0,0,0
code,11,Persistence,12,0,0,1.00000000,0.00000000,0.00000000,0.00000000,12,0,0,0
code,12,Persistence,12,0,0,1.00000000,0.00000000,0.00000000,0.00000000,12,0,0,0
code,13,Persistence,12,2,2,0.66666667,0.00000000,0.00000000,0.00000000,8,2,2,0
code,01,Random Forest,12,4,12,0.33333333,0.33333333,1.00000000,0.50000000,0,8,0,4
code,02,Random Forest,12,8,12,0.66666667,0.66666667,1.00000000,0.80000000,0,4,0,8
code,03,Random Forest,12,2,4,0.83333333,0.50000000,1.00000000,0.66666667,8,2,0,2
code,04,Random Forest,12,3,10,0.25000000,0.20000000,0.66666667,0.30769231,1,8,1,2
code,05,Random Forest,12,2,9,0.25000000,0.11111111,0.50000000,0.18181818,2,8,1,1
code,06,Random Forest,12,0,0,1.00000000,0.00000000,0.00000000,0.00000000,12,0,0,0
code,07,Random Forest,12,4,12,0.33333333,0.33333333,1.00000000,0.50000000,0,8,0,4
code,08,Random Forest,12,0,0,1.00000000,0.00000000,0.00000000,0.00000000,12,0,0,0
code,09,Random Forest,12,0,0,1.00000000,0.00000000,0.00000000,0.00000000,12,0,0,0
code,10,Random Forest,12,0,0,1.00000000,0.00000000,0.00000000,0.00000000,12,0,0,0
code,11,Random Forest,12,0,0,1.00000000,0.00000000,0.00000000,0.00000000,12,0,0,0
code,12,Random Forest,12,0,0,1.00000000,0.00000000,0.00000000,0.00000000,12,0,0,0
code,13,Random Forest,12,2,9,0.25000000,0.11111111,0.50000000,0.18181818,2,8,1,1
date,2025-03-01 00:00:00,Logistic Regression,13,3,5,0.84615385,0.60000000,1.00000000,0.75000000,8,2,0,3
date,2025-04-01 00:00:00,Logistic Regression,13,6,5,0.92307692,1.00000000,0.83333333,0.90909091,7,0,1,5
date,2025-05-01 00:00:00,Logistic Regression,13,2,5,0.76923077,0.40000000,1.00000000,0.57142857,8,3,0,2
date,2025-06-01 00:00:00,Logistic Regression,13,2,5,0.76923077,0.40000000,1.00000000,0.57142857,8,3,0,2
date,2025-07-01 00:00:00,Logistic Regression,13,3,5,0.69230769,0.40000000,0.66666667,0.50000000,7,3,1,2
date,2025-08-01 00:00:00,Logistic Regression,13,1,5,0.69230769,0.20000000,1.00000000,0.33333333,8,4,0,1
date,2025-09-01 00:00:00,Logistic Regression,13,2,5,0.76923077,0.40000000,1.00000000,0.57142857,8,3,0,2
date,2025-10-01 00:00:00,Logistic Regression,13,0,5,0.61538462,0.00000000,0.00000000,0.00000000,8,5,0,0
date,2025-11-01 00:00:00,Logistic Regression,13,1,4,0.76923077,0.25000000,1.00000000,0.40000000,9,3,0,1
date,2025-12-01 00:00:00,Logistic Regression,13,2,5,0.61538462,0.20000000,0.50000000,0.28571429,7,4,1,1
date,2026-01-01 00:00:00,Logistic Regression,13,2,5,0.61538462,0.20000000,0.50000000,0.28571429,7,4,1,1
date,2026-02-01 00:00:00,Logistic Regression,13,1,5,0.69230769,0.20000000,1.00000000,0.33333333,8,4,0,1
date,2025-03-01 00:00:00,No spike,13,3,0,0.76923077,0.00000000,0.00000000,0.00000000,10,0,3,0
date,2025-04-01 00:00:00,No spike,13,6,0,0.53846154,0.00000000,0.00000000,0.00000000,7,0,6,0
date,2025-05-01 00:00:00,No spike,13,2,0,0.84615385,0.00000000,0.00000000,0.00000000,11,0,2,0
date,2025-06-01 00:00:00,No spike,13,2,0,0.84615385,0.00000000,0.00000000,0.00000000,11,0,2,0
date,2025-07-01 00:00:00,No spike,13,3,0,0.76923077,0.00000000,0.00000000,0.00000000,10,0,3,0
date,2025-08-01 00:00:00,No spike,13,1,0,0.92307692,0.00000000,0.00000000,0.00000000,12,0,1,0
date,2025-09-01 00:00:00,No spike,13,2,0,0.84615385,0.00000000,0.00000000,0.00000000,11,0,2,0
date,2025-10-01 00:00:00,No spike,13,0,0,1.00000000,0.00000000,0.00000000,0.00000000,13,0,0,0
date,2025-11-01 00:00:00,No spike,13,1,0,0.92307692,0.00000000,0.00000000,0.00000000,12,0,1,0
date,2025-12-01 00:00:00,No spike,13,2,0,0.84615385,0.00000000,0.00000000,0.00000000,11,0,2,0
