feature,standardized_logistic_coefficient,forest_impurity_importance
numeric__pct_change_lag_1,0.3569973359282635,0.12420865230150746
numeric__pct_change_lag_2,0.037487718507344295,0.08559871080365158
numeric__pct_change_lag_3,0.0007744302732887484,0.05706502412640915
numeric__pct_change_rolling_mean_3,0.20501227162873187,0.09314864881373934
numeric__pct_change_rolling_std_3,-0.11544549214882975,0.23438643890283647
numeric__pct_change_rolling_mean_6,-0.4768810709410398,0.15120827187618982
numeric__pct_change_rolling_std_6,0.661675139198703,0.13868935886461198
numeric__month_sin,0.06821737492926133,0.019272576296245913
numeric__month_cos,0.11055416184494007,0.021789394850047373
categorical__code_01,1.7654295251506147,0.013095638140243962
categorical__code_02,1.4021847844244026,0.013076684972442531
categorical__code_03,0.1243832160310564,0.0016385253333449927
categorical__code_04,1.1606515944562592,0.012172098658159098
categorical__code_05,1.2862399337159345,0.0024267088024151006
categorical__code_06,-1.0633969490088182,0.008310941726410566
categorical__code_07,1.6591688649444505,0.009647385344236037
categorical__code_08,-1.0582537965625263,0.0023828827892331036
categorical__code_09,-1.0673898274656333,0.0027882110069917675
categorical__code_10,-1.0572835381158063,0.0025750472210729347
categorical__code_11,-1.0603690247374156,0.0020365549037001467
categorical__code_12,-1.0579319287726399,0.002236019538546502
categorical__code_13,-1.0781763706762832,0.002246224727964116
