code,group_en,date,cpi_index,reported_pct_change,pct_change,pct_change_lag_1,pct_change_lag_2,pct_change_lag_3,pct_change_rolling_mean_3,pct_change_rolling_std_3,pct_change_rolling_mean_6,pct_change_rolling_std_6,month,year,month_sin,month_cos
01,Food and Non-Alcoholic Beverages,2023-07-01,104.7691938,-0.3238507855,-0.3238507855,-1.083233676,-1.074900069,0.5349382657,-0.5410651597,0.9318556169,-0.07757786849,1.673110978,7,2023,-0.5,-0.8660254038
02,"Alcholoic Beverages, Tobacco and Narcotics",2023-07-01,114.6843322,1.936316306,1.936316306,0.6805405217,0.008698685253,0.1155491322,0.2682627797,0.3610179454,0.2230629271,0.4925932005,7,2023,-0.5,-0.8660254038
03,Clothing and Footwear,2023-07-01,99.93442338,1.961272542,1.961272542,0.2491776048,0.02387650629,0.7267282627,0.3332607913,0.3588908393,0.1530616583,0.6541230816,7,2023,-0.5,-0.8660254038
04,"Housing, Water, Electricity, Gas and Other Fuels",2023-07-01,106.8940869,0.4461764274,0.4461764274,-0.4132779953,-0.0560786222,0.255455272,-0.07130044848,0.3346263942,-0.2479809719,0.6464094755,7,2023,-0.5,-0.8660254038
05,"Furnishings, Household Equipment and Routine Houshold Maintenance",2023-07-01,101.8344058,0.8229920265,0.8229920265,-0.4454026881,0.2256578478,0.05730872533,-0.05414537168,0.3491376126,0.04718654822,0.5476846089,7,2023,-0.5,-0.8660254038
06,Health,2023-07-01,88.82503857,-0.004882573677,-0.004882573677,0.7148778238,0.4404906165,0.1714580153,0.4422754852,0.2717143011,0.1560670667,0.7797153254,7,2023,-0.5,-0.8660254038
07,Transport,2023-07-01,101.2331231,-0.04211641724,-0.04211641724,-2.958608909,-0.1967079184,-0.07951662814,-1.078277819,1.629468382,0.3852741238,2.637387945,7,2023,-0.5,-0.8660254038
08,Information and Communication,2023-07-01,100.434609,-0.1865903713,-0.1865903713,-0.3162643743,-0.9020953235,-0.5328550996,-0.5837382658,0.2962115759,-0.1998678624,0.5866190766,7,2023,-0.5,-0.8660254038
09,"Recreation, Sport, Culture, Gardens and Pets",2023-07-01,128.8382018,1.20070833,1.20070833,0.7871191966,5.027618543,-0.569272752,1.748488329,2.919669673,1.251212229,3.187001033,7,2023,-0.5,-0.8660254038
10,Education Services,2023-07-01,99.79001598,0,0,1.44473217,0,0,0.4815773899,0.834116507,0.3571179998,0.6015349874,7,2023,-0.5,-0.8660254038
11,Resturants and Accomodation Services,2023-07-01,102.2940883,0.5280391388,0.5280391388,-0.2200886034,0.6962730018,0.8060648217,0.4274164067,0.5634364335,0.2272537467,1.484025139,7,2023,-0.5,-0.8660254038
12,Insurance and Financial Services,2023-07-01,102.7913888,0.1499015287,0.1499015287,-0.2232610347,0.5406308723,0.332079048,0.2164829619,0.3948475057,0.2695176642,0.3213267324,7,2023,-0.5,-0.8660254038
13,"Personal Care, Social Protection and Miscellaneous Goods and Services",2023-07-01,116.5228934,-0.1687673036,-0.1687673036,0.05784123762,0.04715292882,0.2195829277,0.1081923647,0.09661497362,1.515885985,3.410419023,7,2023,-0.5,-0.8660254038
01,Food and Non-Alcoholic Beverages,2023-08-01,106.4838681,1.636620752,1.636620752,-0.3238507855,-1.083233676,-1.074900069,-0.8273281768,0.4360441203,0.2548055098,1.294149266,8,2023,-0.8660254038,-0.5
02,"Alcholoic Beverages, Tobacco and Narcotics",2023-08-01,113.5592603,-0.9810162464,-0.9810162464,1.936316306,0.6805405217,0.008698685253,0.8751851711,0.9784387195,0.5251135641,0.8474973667,8,2023,-0.8660254038,-0.5
03,Clothing and Footwear,2023-08-01,99.43141563,-0.5033378183,-0.5033378183,1.961272542,0.2491776048,0.02387650629,0.7447755511,1.059522932,0.3606385074,0.9832390773,8,2023,-0.8660254038,-0.5
04,"Housing, Water, Electricity, Gas and Other Fuels",2023-08-01,107.4876594,0.5552903354,0.5552903354,0.4461764274,-0.4132779953,-0.0560786222,-0.007726730015,0.4317625566,-0.1910712134,0.6967426705,8,2023,-0.8660254038,-0.5
05,"Furnishings, Household Equipment and Routine Houshold Maintenance",2023-08-01,102.5750268,0.7272797435,0.7272797435,0.8229920265,-0.4454026881,0.2256578478,0.2010823954,0.6345543733,0.3040096996,0.4733895524,8,2023,-0.8660254038,-0.5
06,Health,2023-08-01,88.65465674,-0.1918173452,-0.1918173452,-0.004882573677,0.7148778238,0.4404906165,0.3834952889,0.3632493744,0.1342154255,0.782550874,8,2023,-0.8660254038,-0.5
07,Transport,2023-08-01,101.6735835,0.4350951609,0.4350951609,-0.04211641724,-2.958608909,-0.1967079184,-1.065811082,1.641032402,0.322692258,2.643314059,8,2023,-0.8660254038,-0.5
08,Information and Communication,2023-08-01,99.94367724,-0.4888073394,-0.4888073394,-0.1865903713,-0.3162643743,-0.9020953235,-0.4683166897,0.3812174761,-0.1615224063,0.5770552096,8,2023,-0.8660254038,-0.5
09,"Recreation, Sport, Culture, Gardens and Pets",2023-08-01,131.8306268,2.322622426,2.322622426,1.20070833,0.7871191966,5.027618543,2.338482023,2.338023826,1.648641533,2.963447823,8,2023,-0.8660254038,-0.5
10,Education Services,2023-08-01,99.79001598,0,0,0,1.44473217,0,0.4815773899,0.834116507,0.3571179998,0.6015349874,8,2023,-0.8660254038,-0.5
11,Resturants and Accomodation Services,2023-08-01,101.6187253,-0.6602170531,-0.6602170531,0.5280391388,-0.2200886034,0.6962730018,0.3347411791,0.487803981,0.3050176452,1.48582318,8,2023,-0.8660254038,-0.5
12,Insurance and Financial Services,2023-08-01,102.7183077,-0.07109651592,-0.07109651592,0.1499015287,-0.2232610347,0.5406308723,0.1557571221,0.3819796165,0.2978264278,0.2973085635,8,2023,-0.8660254038,-0.5
13,"Personal Care, Social Protection and Miscellaneous Goods and Services",2023-08-01,116.562284,0.03380506198,0.03380506198,-0.1687673036,0.05784123762,0.04715292882,-0.02125771239,0.1278587878,1.478206782,3.430943833,8,2023,-0.8660254038,-0.5
01,Food and Non-Alcoholic Beverages,2023-09-01,109.8220664,3.134933328,3.134933328,1.636620752,-0.3238507855,-1.083233676,0.07651209691,1.403431457,0.2315131573,1.262148681,9,2023,-1,-1.836970199e-16
02,"Alcholoic Beverages, Tobacco and Narcotics",2023-09-01,113.9234752,0.3207267121,0.3207267121,-0.9810162464,1.936316306,0.6805405217,0.5452801939,1.463362164,0.2134640871,1.014357638,9,2023,-1,-1.836970199e-16
03,Clothing and Footwear,2023-09-01,98.88375267,-0.5507946928,-0.5507946928,-0.5033378183,1.961272542,0.2491776048,0.5690374429,1.263055341,0.2339577632,1.046247478,9,2023,-1,-1.836970199e-16
04,"Housing, Water, Electricity, Gas and Other Fuels",2023-09-01,106.9996308,-0.4540322224,-0.4540322224,0.5552903354,0.4461764274,-0.4132779953,0.1960629225,0.5305174142,-0.1157933492,0.7567644279,9,2023,-1,-1.836970199e-16
05,"Furnishings, Household Equipment and Routine Houshold Maintenance",2023-09-01,103.3390174,0.7448115516,0.7448115516,0.7272797435,0.8229920265,-0.4454026881,0.368289694,0.7063014086,0.2974771681,0.4659432876,9,2023,-1,-1.836970199e-16
06,Health,2023-09-01,89.37336061,0.8106780789,0.8106780789,-0.1918173452,-0.004882573677,0.7148778238,0.1727259683,0.4787302247,-0.03350933424,0.7122650599,9,2023,-1,-1.836970199e-16
07,Transport,2023-09-01,105.207429,3.475677121,3.475677121,0.4350951609,-0.04211641724,-2.958608909,-0.8552100552,1.837157526,0.3885020235,2.63978839,9,2023,-1,-1.836970199e-16
