threshold_pct,model,train_rows,train_spikes,n,actual_spikes,predicted_spikes,accuracy,precision,recall,f1,tn,fp,fn,tp
5.00000000,No spike,260,48,156,30,0,0.80769231,0.00000000,0.00000000,0.00000000,126,0,30,0
5.00000000,Persistence,260,48,156,30,30,0.84615385,0.60000000,0.60000000,0.60000000,114,12,12,18
5.00000000,Logistic Regression,260,48,156,30,62,0.70512821,0.37096774,0.76666667,0.50000000,87,39,7,23
5.00000000,Random Forest,260,48,156,30,69,0.71153846,0.39130435,0.90000000,0.54545455,84,42,3,27
10.00000000,No spike,260,30,156,25,0,0.83974359,0.00000000,0.00000000,0.00000000,131,0,25,0
10.00000000,Persistence,260,30,156,25,25,0.83333333,0.48000000,0.48000000,0.48000000,118,13,13,12
10.00000000,Logistic Regression,260,30,156,25,59,0.73076923,0.35593220,0.84000000,0.50000000,93,38,4,21
10.00000000,Random Forest,260,30,156,25,68,0.68589744,0.32352941,0.88000000,0.47311828,85,46,3,22
20.00000000,No spike,260,19,156,19,0,0.87820513,0.00000000,0.00000000,0.00000000,137,0,19,0
20.00000000,Persistence,260,19,156,19,18,0.86538462,0.44444444,0.42105263,0.43243243,127,10,11,8
20.00000000,Logistic Regression,260,19,156,19,39,0.75641026,0.25641026,0.52631579,0.34482759,108,29,9,10
20.00000000,Random Forest,260,19,156,19,52,0.72435897,0.26923077,0.73684211,0.39436620,99,38,5,14
